surrogate_method,surrogate_seed,target_method,target_seed,attack,class_id,class_name,n_samples,n_correct,acc
single_at_pgd_linf,73,single_at_pgd_linf,73,pgd_l2,9,truck,125,94,0.752
single_at_pgd_linf,73,single_at_pgd_linf,73,deepfool_l2,0,airplane,125,85,0.68
single_at_pgd_linf,73,single_at_pgd_linf,73,deepfool_l2,1,automobile,125,107,0.856
single_at_pgd_linf,73,single_at_pgd_linf,73,deepfool_l2,2,bird,125,60,0.48
single_at_pgd_linf,73,single_at_pgd_linf,73,deepfool_l2,3,cat,125,49,0.392
single_at_pgd_linf,73,single_at_pgd_linf,73,deepfool_l2,4,deer,125,51,0.408
single_at_pgd_linf,73,single_at_pgd_linf,73,deepfool_l2,5,dog,125,68,0.544
single_at_pgd_linf,73,single_at_pgd_linf,73,deepfool_l2,6,frog,125,87,0.696
single_at_pgd_linf,73,single_at_pgd_linf,73,deepfool_l2,7,horse,125,93,0.744
single_at_pgd_linf,73,single_at_pgd_linf,73,deepfool_l2,8,ship,125,108,0.864
single_at_pgd_linf,73,single_at_pgd_linf,73,deepfool_l2,9,truck,125,103,0.824
single_at_pgd_linf,73,single_at_pgd_linf,73,cw_l2,0,airplane,125,88,0.704
single_at_pgd_linf,73,single_at_pgd_linf,73,cw_l2,1,automobile,125,106,0.848
single_at_pgd_linf,73,single_at_pgd_linf,73,cw_l2,2,bird,125,49,0.392
single_at_pgd_linf,73,single_at_pgd_linf,73,cw_l2,3,cat,125,46,0.368
single_at_pgd_linf,73,single_at_pgd_linf,73,cw_l2,4,deer,125,50,0.4
single_at_pgd_linf,73,single_at_pgd_linf,73,cw_l2,5,dog,125,60,0.48
single_at_pgd_linf,73,single_at_pgd_linf,73,cw_l2,6,frog,125,90,0.72
single_at_pgd_linf,73,single_at_pgd_linf,73,cw_l2,7,horse,125,92,0.736
single_at_pgd_linf,73,single_at_pgd_linf,73,cw_l2,8,ship,125,99,0.792
single_at_pgd_linf,73,single_at_pgd_linf,73,cw_l2,9,truck,125,99,0.792
single_at_pgd_linf,73,single_at_pgd_linf,202,pgd20_ce,0,airplane,125,82,0.656
single_at_pgd_linf,73,single_at_pgd_linf,202,pgd20_ce,1,automobile,125,101,0.808
single_at_pgd_linf,73,single_at_pgd_linf,202,pgd20_ce,2,bird,125,50,0.4
single_at_pgd_linf,73,single_at_pgd_linf,202,pgd20_ce,3,cat,125,34,0.272
single_at_pgd_linf,73,single_at_pgd_linf,202,pgd20_ce,4,deer,125,52,0.416
single_at_pgd_linf,73,single_at_pgd_linf,202,pgd20_ce,5,dog,125,62,0.496
single_at_pgd_linf,73,single_at_pgd_linf,202,pgd20_ce,6,frog,125,75,0.6
single_at_pgd_linf,73,single_at_pgd_linf,202,pgd20_ce,7,horse,125,85,0.68
single_at_pgd_linf,73,single_at_pgd_linf,202,pgd20_ce,8,ship,125,89,0.712
single_at_pgd_linf,73,single_at_pgd_linf,202,pgd20_ce,9,truck,125,95,0.76
single_at_pgd_linf,73,single_at_pgd_linf,202,ddn_l2,0,airplane,125,96,0.768
single_at_pgd_linf,73,single_at_pgd_linf,202,ddn_l2,1,automobile,125,113,0.904
single_at_pgd_linf,73,single_at_pgd_linf,202,ddn_l2,2,bird,125,71,0.568
single_at_pgd_linf,73,single_at_pgd_linf,202,ddn_l2,3,cat,125,46,0.368
single_at_pgd_linf,73,single_at_pgd_linf,202,ddn_l2,4,deer,125,69,0.552
single_at_pgd_linf,73,single_at_pgd_linf,202,ddn_l2,5,dog,125,75,0.6
single_at_pgd_linf,73,single_at_pgd_linf,202,ddn_l2,6,frog,125,96,0.768
single_at_pgd_linf,73,single_at_pgd_linf,202,ddn_l2,7,horse,125,101,0.808
single_at_pgd_linf,73,single_at_pgd_linf,202,ddn_l2,8,ship,125,105,0.84
single_at_pgd_linf,73,single_at_pgd_linf,202,ddn_l2,9,truck,125,99,0.792
single_at_pgd_linf,73,single_at_pgd_linf,202,fgsm_rs,0,airplane,125,104,0.832
single_at_pgd_linf,73,single_at_pgd_linf,202,fgsm_rs,1,automobile,125,110,0.88
single_at_pgd_linf,73,single_at_pgd_linf,202,fgsm_rs,2,bird,125,80,0.64
single_at_pgd_linf,73,single_at_pgd_linf,202,fgsm_rs,3,cat,125,46,0.368
single_at_pgd_linf,73,single_at_pgd_linf,202,fgsm_rs,4,deer,125,73,0.584
single_at_pgd_linf,73,single_at_pgd_linf,202,fgsm_rs,5,dog,125,74,0.592
single_at_pgd_linf,73,single_at_pgd_linf,202,fgsm_rs,6,frog,125,102,0.816
single_at_pgd_linf,73,single_at_pgd_linf,202,fgsm_rs,7,horse,125,98,0.784
single_at_pgd_linf,73,single_at_pgd_linf,202,fgsm_rs,8,ship,125,110,0.88
single_at_pgd_linf,73,single_at_pgd_linf,202,fgsm_rs,9,truck,125,101,0.808
single_at_pgd_linf,73,single_at_pgd_linf,202,tpgd,0,airplane,125,90,0.72
single_at_pgd_linf,73,single_at_pgd_linf,202,tpgd,1,automobile,125,106,0.848
single_at_pgd_linf,73,single_at_pgd_linf,202,tpgd,2,bird,125,77,0.616
single_at_pgd_linf,73,single_at_pgd_linf,202,tpgd,3,cat,125,62,0.496
single_at_pgd_linf,73,single_at_pgd_linf,202,tpgd,4,deer,125,75,0.6
single_at_pgd_linf,73,single_at_pgd_linf,202,tpgd,5,dog,125,73,0.584
single_at_pgd_linf,73,single_at_pgd_linf,202,tpgd,6,frog,125,102,0.816
single_at_pgd_linf,73,single_at_pgd_linf,202,tpgd,7,horse,125,110,0.88
single_at_pgd_linf,73,single_at_pgd_linf,202,tpgd,8,ship,125,111,0.888
single_at_pgd_linf,73,single_at_pgd_linf,202,tpgd,9,truck,125,102,0.816
single_at_pgd_linf,73,single_at_pgd_linf,202,mifgsm,0,airplane,125,89,0.712
single_at_pgd_linf,73,single_at_pgd_linf,202,mifgsm,1,automobile,125,91,0.728
single_at_pgd_linf,73,single_at_pgd_linf,202,mifgsm,2,bird,125,54,0.432
single_at_pgd_linf,73,single_at_pgd_linf,202,mifgsm,3,cat,125,34,0.272
single_at_pgd_linf,73,single_at_pgd_linf,202,mifgsm,4,deer,125,46,0.368
single_at_pgd_linf,73,single_at_pgd_linf,202,mifgsm,5,dog,125,57,0.456
single_at_pgd_linf,73,single_at_pgd_linf,202,mifgsm,6,frog,125,82,0.656
single_at_pgd_linf,73,single_at_pgd_linf,202,mifgsm,7,horse,125,87,0.696
single_at_pgd_linf,73,single_at_pgd_linf,202,mifgsm,8,ship,125,81,0.648
single_at_pgd_linf,73,single_at_pgd_linf,202,mifgsm,9,truck,125,76,0.608
single_at_pgd_linf,73,single_at_pgd_linf,202,pgd_l2,0,airplane,125,100,0.8
single_at_pgd_linf,73,single_at_pgd_linf,202,pgd_l2,1,automobile,125,108,0.864
single_at_pgd_linf,73,single_at_pgd_linf,202,pgd_l2,2,bird,125,68,0.544
single_at_pgd_linf,73,single_at_pgd_linf,202,pgd_l2,3,cat,125,42,0.336
single_at_pgd_linf,73,single_at_pgd_linf,202,pgd_l2,4,deer,125,63,0.504
single_at_pgd_linf,73,single_at_pgd_linf,202,pgd_l2,5,dog,125,78,0.624
single_at_pgd_linf,73,single_at_pgd_linf,202,pgd_l2,6,frog,125,101,0.808
single_at_pgd_linf,73,single_at_pgd_linf,202,pgd_l2,7,horse,125,102,0.816
single_at_pgd_linf,73,single_at_pgd_linf,202,pgd_l2,8,ship,125,110,0.88
single_at_pgd_linf,73,single_at_pgd_linf,202,pgd_l2,9,truck,125,101,0.808
single_at_pgd_linf,73,single_at_pgd_linf,202,deepfool_l2,0,airplane,125,93,0.744
single_at_pgd_linf,73,single_at_pgd_linf,202,deepfool_l2,1,automobile,125,112,0.896
single_at_pgd_linf,73,single_at_pgd_linf,202,deepfool_l2,2,bird,125,80,0.64
single_at_pgd_linf,73,single_at_pgd_linf,202,deepfool_l2,3,cat,125,73,0.584
single_at_pgd_linf,73,single_at_pgd_linf,202,deepfool_l2,4,deer,125,81,0.648
single_at_pgd_linf,73,single_at_pgd_linf,202,deepfool_l2,5,dog,125,89,0.712
single_at_pgd_linf,73,single_at_pgd_linf,202,deepfool_l2,6,frog,125,105,0.84
single_at_pgd_linf,73,single_at_pgd_linf,202,deepfool_l2,7,horse,125,105,0.84
single_at_pgd_linf,73,single_at_pgd_linf,202,deepfool_l2,8,ship,125,119,0.952
single_at_pgd_linf,73,single_at_pgd_linf,202,deepfool_l2,9,truck,125,105,0.84
single_at_pgd_linf,73,single_at_pgd_linf,202,cw_l2,0,airplane,125,99,0.792
single_at_pgd_linf,73,single_at_pgd_linf,202,cw_l2,1,automobile,125,112,0.896
single_at_pgd_linf,73,single_at_pgd_linf,202,cw_l2,2,bird,125,70,0.56
single_at_pgd_linf,73,single_at_pgd_linf,202,cw_l2,3,cat,125,60,0.48
single_at_pgd_linf,73,single_at_pgd_linf,202,cw_l2,4,deer,125,72,0.576
single_at_pgd_linf,73,single_at_pgd_linf,202,cw_l2,5,dog,125,77,0.616
single_at_pgd_linf,73,single_at_pgd_linf,202,cw_l2,6,frog,125,105,0.84
single_at_pgd_linf,73,single_at_pgd_linf,202,cw_l2,7,horse,125,105,0.84
single_at_pgd_linf,73,single_at_pgd_linf,202,cw_l2,8,ship,125,106,0.848
single_at_pgd_linf,73,single_at_pgd_linf,202,cw_l2,9,truck,125,107,0.856
single_at_pgd_linf,73,single_at_pgd_linf,1337,pgd20_ce,0,airplane,125,82,0.656
single_at_pgd_linf,73,single_at_pgd_linf,1337,pgd20_ce,1,automobile,125,101,0.808
single_at_pgd_linf,73,single_at_pgd_linf,1337,pgd20_ce,2,bird,125,50,0.4
single_at_pgd_linf,73,single_at_pgd_linf,1337,pgd20_ce,3,cat,125,34,0.272
single_at_pgd_linf,73,single_at_pgd_linf,1337,pgd20_ce,4,deer,125,52,0.416
single_at_pgd_linf,73,single_at_pgd_linf,1337,pgd20_ce,5,dog,125,62,0.496
single_at_pgd_linf,73,single_at_pgd_linf,1337,pgd20_ce,6,frog,125,75,0.6
single_at_pgd_linf,73,single_at_pgd_linf,1337,pgd20_ce,7,horse,125,85,0.68
single_at_pgd_linf,73,single_at_pgd_linf,1337,pgd20_ce,8,ship,125,89,0.712
single_at_pgd_linf,73,single_at_pgd_linf,1337,pgd20_ce,9,truck,125,95,0.76
single_at_pgd_linf,73,single_at_pgd_linf,1337,ddn_l2,0,airplane,125,96,0.768
single_at_pgd_linf,73,single_at_pgd_linf,1337,ddn_l2,1,automobile,125,113,0.904
single_at_pgd_linf,73,single_at_pgd_linf,1337,ddn_l2,2,bird,125,71,0.568
single_at_pgd_linf,73,single_at_pgd_linf,1337,ddn_l2,3,cat,125,46,0.368
single_at_pgd_linf,73,single_at_pgd_linf,1337,ddn_l2,4,deer,125,69,0.552
single_at_pgd_linf,73,single_at_pgd_linf,1337,ddn_l2,5,dog,125,75,0.6
single_at_pgd_linf,73,single_at_pgd_linf,1337,ddn_l2,6,frog,125,96,0.768
single_at_pgd_linf,73,single_at_pgd_linf,1337,ddn_l2,7,horse,125,101,0.808
single_at_pgd_linf,73,single_at_pgd_linf,1337,ddn_l2,8,ship,125,105,0.84
single_at_pgd_linf,73,single_at_pgd_linf,1337,ddn_l2,9,truck,125,99,0.792
single_at_pgd_linf,73,single_at_pgd_linf,1337,fgsm_rs,0,airplane,125,104,0.832
single_at_pgd_linf,73,single_at_pgd_linf,1337,fgsm_rs,1,automobile,125,110,0.88
single_at_pgd_linf,73,single_at_pgd_linf,1337,fgsm_rs,2,bird,125,80,0.64
single_at_pgd_linf,73,single_at_pgd_linf,1337,fgsm_rs,3,cat,125,46,0.368
single_at_pgd_linf,73,single_at_pgd_linf,1337,fgsm_rs,4,deer,125,73,0.584
single_at_pgd_linf,73,single_at_pgd_linf,1337,fgsm_rs,5,dog,125,74,0.592
single_at_pgd_linf,73,single_at_pgd_linf,1337,fgsm_rs,6,frog,125,102,0.816
single_at_pgd_linf,73,single_at_pgd_linf,1337,fgsm_rs,7,horse,125,98,0.784
single_at_pgd_linf,73,single_at_pgd_linf,1337,fgsm_rs,8,ship,125,110,0.88
single_at_pgd_linf,73,single_at_pgd_linf,1337,fgsm_rs,9,truck,125,101,0.808
single_at_pgd_linf,73,single_at_pgd_linf,1337,tpgd,0,airplane,125,90,0.72
single_at_pgd_linf,73,single_at_pgd_linf,1337,tpgd,1,automobile,125,106,0.848
single_at_pgd_linf,73,single_at_pgd_linf,1337,tpgd,2,bird,125,77,0.616
single_at_pgd_linf,73,single_at_pgd_linf,1337,tpgd,3,cat,125,62,0.496
single_at_pgd_linf,73,single_at_pgd_linf,1337,tpgd,4,deer,125,75,0.6
single_at_pgd_linf,73,single_at_pgd_linf,1337,tpgd,5,dog,125,73,0.584
single_at_pgd_linf,73,single_at_pgd_linf,1337,tpgd,6,frog,125,102,0.816
single_at_pgd_linf,73,single_at_pgd_linf,1337,tpgd,7,horse,125,110,0.88
single_at_pgd_linf,73,single_at_pgd_linf,1337,tpgd,8,ship,125,111,0.888
single_at_pgd_linf,73,single_at_pgd_linf,1337,tpgd,9,truck,125,102,0.816
